chave_estavel,codigo,codigo_original,descricao,ordem,tipo,folha_mensuravel
f90e0d38-aeda-5fa6-8148-d9357467c499,SINAPI:104735,104735,"REATERRO MECANIZADO DE VALA COM RETROESCAVADEIRA (CAPACIDADE DA CAÇAMBA DA RETRO: 0,26 M³/POTÊNCIA: 88 HP), LARGURA ATÉ 0,8 M, PROFUNDIDADE DE 1,5 A 3,0 M, COM SOLO (SEM SUBSTITUIÇÃO) DE 1ª CATEGORIA, COM PLACA VIBRATÓRIA. AF_08/2023",29,item,True
0a15d993-bb40-59a2-b0b2-ba6e8882eaad,SINAPI:93358,93358,ESCAVAÇÃO MANUAL DE VALA. AF_09/2024,30,item,True
2afc926b-1a4b-568a-8ed6-6d34db540465,SINAPI:93382,93382,"REATERRO MANUAL DE VALAS, COM COMPACTADOR DE SOLOS DE PERCUSSÃO. AF_08/2023",31,item,True
ba407b53-f11c-5919-a61b-5131be1c4af9,,,INFRA-ESTRUTURA/FUNDAÇÕES SIMPLES,32,grupo,False
e843fcda-9611-53d5-baf9-a4c28db3c636,UFCA:D0001,D0001,"ALVENARIA DE CONTENÇÃO EM PEDRA RACHÃO OU PEDRA DE MÃO, ASSENTADA COM ARGAMASSA TRAÇO 1:4 (CIMENTO E AREIA)",33,item,True
1ef831a2-6319-5b49-a713-bd397932add0,UFCA:D0002,D0002,"ALVENARIA DE CONTENÇÃO EM PEDRA RACHÃO OU PEDRA DE MÃO ARRUMADA, ASSENTADA COM ARGAMASSA TRAÇO 1:4 (CIMENTO E AREIA)",34,item,True
529403b2-2b54-5ffe-bfed-7581798f4d06,SINAPI:101165,101165,"ALVENARIA DE EMBASAMENTO COM BLOCO ESTRUTURAL DE CONCRETO, DE 14X19X29CM E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020",35,item,True
3adb18d6-4f84-543a-92ef-614d952f209e,SINAPI:102722,102722,"DRENO EM MURO DE CONTENÇÃO, EXECUTADO NO PÉ DO MURO, COM TUBO DE PEAD CORRUGADO FLEXÍVEL PERFURADO, ENCHIMENTO COM BRITA, ENVOLVIDO COM MANTA GEOTÊXTIL. AF_07/2021",36,item,True
335a8004-a626-5f67-9cfc-370a157cf728,SINAPI:103685,103685,"CONCRETAGEM DE MURETAS, FCK=25 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_02/2022_PS",37,item,True
d0321d1f-7abd-54dc-9074-ac09f8892842,SINAPI:94962,94962,"CONCRETO MAGRO PARA LASTRO, TRAÇO 1:4,5:4,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",38,item,True
c9ef60f2-52a7-5fc1-a197-bee411d64222,SINAPI:94965,94965,"CONCRETO FCK = 25MPA, TRAÇO 1:2,3:2,7 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",39,item,True
1859e854-94fe-5dc4-bb7d-661e6827c6f8,SINAPI:103670,103670,"LANÇAMENTO COM USO DE BALDES, ADENSAMENTO E ACABAMENTO DE CONCRETO EM ESTRUTURAS. AF_02/2022",40,item,True
a4340ac5-2e02-522d-ab3a-d2e32447f475,SINAPI:96543,96543,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-60 DE 5 MM - MONTAGEM. AF_01/2024,41,item,True
910226e9-621d-5dd3-a508-00b3936f0181,SINAPI:96544,96544,"ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_01/2024",42,item,True
ef17bec9-2881-50a3-bf36-a89079566194,SINAPI:96545,96545,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 8 MM - MONTAGEM. AF_01/2024,43,item,True
ea5b56b7-913a-5eb7-88db-8bf72bcfca7f,SINAPI:96546,96546,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 10 MM - MONTAGEM. AF_01/2024,44,item,True
b7d80699-1972-54a0-a2a9-d253735dffb2,SINAPI:104920,104920,"ARMAÇÃO DE BLOCO, SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_01/2024",45,item,True
0b414327-d460-5745-b12d-08f993ac6467,UFCA:B0029,B0029,CONTROLE TECNOLÓGICO DE CONCRETO C/ ROMPIMENTO DE CORPO DE PROVA À COMPRESSÃO,46,item,True
e1b8a763-899e-563a-8104-d7b948845bfd,SINAPI:96525,96525,ESCAVAÇÃO MECANIZADA PARA VIGA BALDRAME OU SAPATA CORRIDA COM MINI-ESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS). AF_01/2024,47,item,True
297590ad-addd-5b6b-a8db-d06192b7fa02,SINAPI:96521,96521,ESCAVAÇÃO MECANIZADA PARA BLOCO DE COROAMENTO OU SAPATA COM RETROESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS). AF_01/2024,48,item,True
39ecde2a-520c-58e9-bbdf-5154ac2c0d57,SINAPI:96557,96557,"CONCRETAGEM DE BLOCO DE COROAMENTO OU VIGA BALDRAME, FCK 30 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_01/2024",49,item,True
1b38915a-bc38-54a5-bb5d-8b0b020c9184,SINAPI:96558,96558,"CONCRETAGEM DE SAPATA, FCK 30 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_01/2024",50,item,True
0efe0efe-cbf3-5aad-8320-6bd04c1867db,SINAPI:104918,104918,"ARMAÇÃO DE SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-50 DE 8 MM - MONTAGEM. AF_01/2024",51,item,True
65a8683f-00d2-5bb1-9921-e8e4e5872291,SINAPI:104916,104916,"ARMAÇÃO DE SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-60 DE 5 MM - MONTAGEM. AF_01/2024",52,item,True
6cf5ce81-54d6-568d-8482-038e47a61bea,SINAPI:104917,104917,"ARMAÇÃO DE SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_01/2024",53,item,True
