,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,
Insumo, 00005090 ,SINAPI,"CADEADO SIMPLES, CORPO EM LATAO MACICO, COM LARGURA DE 25 MM E ALTURA DE APROX 25 MM, HASTE CEMENTADA (NAO LONGA), EM ACO TEMPERADO COM DIAMETRO DE APROX 5,0 MM, INCLUINDO 2 CHAVES",Material,,UN,"2,0000000","17,28","34,56"
Insumo, 00011712 ,SINAPI,"CAIXA SIFONADA, PVC, 150 X 150 X 50 MM, COM GRELHA QUADRADA, BRANCA (NBR 5688)",Material,,UN,"1,0000000","38,08","38,08"
Insumo, 00043681 ,SINAPI,"CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 8 A 12 MM",Material,,m²,"59,0000000","29,09","1.716,31"
Insumo, I0796 ,SEINFRA,CHUVEIRO PLASTICO,Material,,UN,"1,0000000","5,78","5,78"
Insumo, 00002370 ,SINAPI,"DISJUNTOR TIPO NEMA, MONOPOLAR 10 ATE 30A, TENSAO MAXIMA DE 240 V",Material,,UN,"1,0000000","8,72","8,72"
Insumo, 00002674 ,SINAPI,"ELETRODUTO DE PVC RIGIDO ROSCAVEL DE 3/4 "", SEM LUVA",Material,,M,"3,0000000","3,43","10,29"
Insumo, 00006141 ,SINAPI,"ENGATE/RABICHO FLEXIVEL PLASTICO (PVC OU ABS) BRANCO 1/2"" X 30 CM",Material,,UN,"1,0000000","4,84","4,84"
Insumo, 00010425 ,SINAPI,"LAVATORIO DE LOUCA BRANCA, SUSPENSO (SEM COLUNA), DIMENSOES *40 X 30* CM",Material,,UN,"1,0000000","79,68","79,68"
Insumo, 00006016 ,SINAPI,"REGISTRO GAVETA BRUTO EM LATAO FORJADO, BITOLA 3/4""",Material,,UN,"1,0000000","28,20","28,20"
Insumo, 00004408 ,SINAPI,"RIPA NAO APARELHADA, *1,5 X 5* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"25,3000000","2,21","55,91"
Insumo, 00009868 ,SINAPI,"TUBO PVC, SOLDAVEL, DE 25 MM, AGUA FRIA (NBR-5648)",Material,,M,"6,0000000","3,23","19,38"
Insumo, 00002433 ,SINAPI,"DOBRADICA EM ACO/FERRO, 3"" X 2 1/2"", E= 1,2 A 1,8 MM, SEM ANEL, CROMADO OU ZINCADO, TAMPA CHATA, COM PARAFUSOS",Material,,UN,"3,0000000","8,18","24,54"
Insumo, 00011484 ,SINAPI,"FECHADURA DE SOBREPOR PARA PORTAO, EM ACO INOX COM ACABAMENTO CROMADO, CAIXA DE 100 MM, INCLUINDO CHAVE TIPO CILINDRO",Material,,UN,"3,0000000","44,42","133,26"
Insumo, 00000939 ,SINAPI,"FIO DE COBRE, SOLIDO, CLASSE 1, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, 450/750V, SECAO NOMINAL 2,5 MM2",Material,,M,"94,0000000","2,12","199,28"
Insumo, 00012128 ,SINAPI,"INTERRUPTOR SIMPLES 10A, 250V, CONJUNTO MONTADO PARA SOBREPOR 4"" X 2"" (CAIXA + MODULO)",Material,,UN,"4,0000000","7,76","31,04"
Insumo, 00038194 ,SINAPI,"LAMPADA LED 10 W BIVOLT BRANCA, FORMATO TRADICIONAL (BASE E27)",Material,,UN,"4,0000000","4,11","16,44"
Insumo, I2379 ,SEINFRA,"MINI POSTE F.G. 1 1/14"" C/2.00M E REX MONOFASICO",Material,,UN,"1,0000000","53,97","53,97"
Insumo, 00005063 ,SINAPI,PREGO DE ACO POLIDO COM CABECA 14 X 18 (1 1/2 X 14),Material,,KG,"2,0000000","13,04","26,08"
Insumo, 00039804 ,SINAPI,"QUADRO DE DISTRIBUICAO, EM PVC, DE EMBUTIR, COM BARRAMENTO TERRA / NEUTRO, PARA 6 DISJUNTORES NEMA OU 8 DISJUNTORES DIN",Material,,UN,"1,0000000","61,02","61,02"
Insumo, 00006038 ,SINAPI,"REGISTRO DE PRESSAO PVC, ROSCAVEL, VOLANTE SIMPLES, DE 1/2""",Material,,UN,"1,0000000","2,85","2,85"
Insumo, I2429 ,SEINFRA,"TABUA DE VIROLA DE 12""x 1""",Material,,m²,"11,4300000","29,31","335,01"
Insumo, I2433 ,SEINFRA,"TARGETA DE FERRO 2""",Material,,UN,"5,0000000","4,70","23,50"
Insumo, I2440 ,SEINFRA,TELHA DE FIBROCIMENTO DE 4MM (0.50 x 2.44M),Material,,UN,"20,0000000","20,05","401,00"
