,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,
Composição Auxiliar, 88238 ,SINAPI,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0031832","24,55","0,07"
Composição Auxiliar, 88245 ,SINAPI,ARMADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0194782","29,08","0,56"
Composição Auxiliar, 92804 ,SINAPI,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 12,5 MM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"1,0000000","6,94","6,94"
Insumo, 00039017 ,SINAPI,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",Material,,UN,"0,3670000","0,18","0,06"
Insumo, 00043132 ,SINAPI,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",Material,,KG,"0,0250000","12,66","0,31"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 6.1.10 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 92764 ,SINAPI,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 16,0 MM - MONTAGEM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"1,0000000","7,68","7,68"
Composição Auxiliar, 88238 ,SINAPI,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0024209","24,55","0,05"
Composição Auxiliar, 88245 ,SINAPI,ARMADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0146768","29,08","0,42"
Composição Auxiliar, 92805 ,SINAPI,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 16,0 MM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"1,0000000","6,87","6,87"
Insumo, 00039017 ,SINAPI,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",Material,,UN,"0,2120000","0,18","0,03"
Insumo, 00043132 ,SINAPI,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",Material,,KG,"0,0250000","12,66","0,31"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 6.1.11 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 92765 ,SINAPI,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 20,0 MM - MONTAGEM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"1,0000000","8,78","8,78"
Composição Auxiliar, 88238 ,SINAPI,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0019683","24,55","0,04"
Composição Auxiliar, 88245 ,SINAPI,ARMADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0119672","29,08","0,34"
Composição Auxiliar, 92806 ,SINAPI,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 20,0 MM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"1,0000000","8,07","8,07"
Insumo, 00039017 ,SINAPI,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",Material,,UN,"0,1130000","0,18","0,02"
Insumo, 00043132 ,SINAPI,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",Material,,KG,"0,0250000","12,66","0,31"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 6.1.12 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 92768 ,SINAPI,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"1,0000000","11,55","11,55"
Composição Auxiliar, 88238 ,SINAPI,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0088606","24,55","0,21"
Composição Auxiliar, 88245 ,SINAPI,ARMADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0544662","29,08","1,58"
Composição Auxiliar, 92800 ,SINAPI,"CORTE E DOBRA DE AÇO CA-60, DIÂMETRO DE 5,0 MM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"1,0000000","9,07","9,07"
Insumo, 00039017 ,SINAPI,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",Material,,UN,"2,1180000","0,18","0,38"
Insumo, 00043132 ,SINAPI,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",Material,,KG,"0,0250000","12,66","0,31"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 6.1.13 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 92769 ,SINAPI,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"1,0000000","10,89","10,89"
Composição Auxiliar, 88238 ,SINAPI,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0067377","24,55","0,16"
Composição Auxiliar, 88245 ,SINAPI,ARMADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0410449","29,08","1,19"
Composição Auxiliar, 92801 ,SINAPI,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 6,3 MM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"1,0000000","9,00","9,00"
Insumo, 00039017 ,SINAPI,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",Material,,UN,"1,3330000","0,18","0,23"
Insumo, 00043132 ,SINAPI,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",Material,,KG,"0,0250000","12,66","0,31"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 6.1.14 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 92770 ,SINAPI,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 8,0 MM - MONTAGEM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"1,0000000","10,23","10,23"
Composição Auxiliar, 88238 ,SINAPI,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0047257","24,55","0,11"
Composição Auxiliar, 88245 ,SINAPI,ARMADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0288550","29,08","0,83"
Composição Auxiliar, 92802 ,SINAPI,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 8,0 MM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"1,0000000","8,85","8,85"
Insumo, 00039017 ,SINAPI,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",Material,,UN,"0,7280000","0,18","0,13"
Insumo, 00043132 ,SINAPI,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",Material,,KG,"0,0250000","12,66","0,31"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 6.1.15 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 92771 ,SINAPI,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 10,0 MM - MONTAGEM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"1,0000000","9,10","9,10"
Composição Auxiliar, 88238 ,SINAPI,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0030285","24,55","0,07"
Composição Auxiliar, 88245 ,SINAPI,ARMADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0186760","29,08","0,54"
Composição Auxiliar, 92803 ,SINAPI,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 10,0 MM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"1,0000000","8,12","8,12"
Insumo, 00039017 ,SINAPI,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",Material,,UN,"0,3570000","0,18","0,06"
Insumo, 00043132 ,SINAPI,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",Material,,KG,"0,0250000","12,66","0,31"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 6.1.16 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 92772 ,SINAPI,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"1,0000000","7,60","7,60"
Composição Auxiliar, 88238 ,SINAPI,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0016583","24,55","0,04"
Composição Auxiliar, 88245 ,SINAPI,ARMADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0103105","29,08","0,29"
Composição Auxiliar, 92804 ,SINAPI,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 12,5 MM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"1,0000000","6,94","6,94"
Insumo, 00039017 ,SINAPI,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",Material,,UN,"0,1470000","0,18","0,02"
Insumo, 00043132 ,SINAPI,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",Material,,KG,"0,0250000","12,66","0,31"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 6.1.17 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 103672 ,SINAPI,"CONCRETAGEM DE PILARES, FCK = 25 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_02/2022_PS",Concretagem para Estruturas de Concreto Armado,,m³,"1,0000000","501,28","501,28"
Composição Auxiliar, 88262 ,SINAPI,CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1729281","28,79","4,97"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1729281","29,21","5,05"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,0383403","23,37","24,26"
Composição Auxiliar, 90586 ,SINAPI,"VIBRADOR DE IMERSÃO, DIÂMETRO DE PONTEIRA 45MM, MOTOR ELÉTRICO TRIFÁSICO POTÊNCIA DE 2 CV - CHP DIURNO. AF_06/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0940000","1,06","0,09"
Composição Auxiliar, 90587 ,SINAPI,"VIBRADOR DE IMERSÃO, DIÂMETRO DE PONTEIRA 45MM, MOTOR ELÉTRICO TRIFÁSICO POTÊNCIA DE 2 CV - CHI DIURNO. AF_06/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,1300000","0,42","0,05"
Insumo, 00001527 ,SINAPI,"CONCRETO USINADO BOMBEAVEL, CLASSE DE RESISTENCIA C25, BRITA 0 E 1, SLUMP = 100 +/- 20 MM, COM BOMBEAMENTO (DISPONIBILIZACAO DE BOMBA), SEM O LANCAMENTO (NBR 8953)",Material,,m³,"1,1030000","423,27","466,86"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 6.1.18 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 103675 ,SINAPI,"CONCRETAGEM DE VIGAS E LAJES, FCK=25 MPA, PARA LAJES MACIÇAS OU NERVURADAS COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_02/2022_PS",Concretagem para Estruturas de Concreto Armado,,m³,"1,0000000","501,68","501,68"
Composição Auxiliar, 88262 ,SINAPI,CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0965475","28,79","2,77"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,5816024","29,21","16,98"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,6379862","23,37","14,90"
Composição Auxiliar, 90586 ,SINAPI,"VIBRADOR DE IMERSÃO, DIÂMETRO DE PONTEIRA 45MM, MOTOR ELÉTRICO TRIFÁSICO POTÊNCIA DE 2 CV - CHP DIURNO. AF_06/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,1200000","1,06","0,12"
Composição Auxiliar, 90587 ,SINAPI,"VIBRADOR DE IMERSÃO, DIÂMETRO DE PONTEIRA 45MM, MOTOR ELÉTRICO TRIFÁSICO POTÊNCIA DE 2 CV - CHI DIURNO. AF_06/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,1310000","0,42","0,05"
Insumo, 00001527 ,SINAPI,"CONCRETO USINADO BOMBEAVEL, CLASSE DE RESISTENCIA C25, BRITA 0 E 1, SLUMP = 100 +/- 20 MM, COM BOMBEAMENTO (DISPONIBILIZACAO DE BOMBA), SEM O LANCAMENTO (NBR 8953)",Material,,m³,"1,1030000","423,27","466,86"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 6.1.19 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, B0029 ,Próprio,CONTROLE TECNOLÓGICO DE CONCRETO C/ ROMPIMENTO DE CORPO DE PROVA À COMPRESSÃO,ASTU - ASSENTAMENTO DE TUBOS E PECAS,,UN,"1,0000000","83,07","83,07"
Composição Auxiliar, 88249 ,SINAPI,AUXILIAR DE LABORATÓRIO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,0838515","30,78","33,36"
Composição Auxiliar, 88321 ,SINAPI,TÉCNICO DE LABORATÓRIO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,5419258","33,62","18,21"
Insumo, I9071 ,SEINFRA,RESISTÊNCIA À COMPRESSÃO CORPO-DE-PROVA CILÍNDRICO DE CONCRETO E ARGAMASSA,Material,,UN,"1,0000000","31,50","31,50"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 6.1.20 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 97102 ,SINAPI,"EXECUÇÃO DE RADIER, ESPESSURA DE 15 CM, FCK = 30 MPA, COM USO DE FORMAS EM MADEIRA SERRADA. AF_09/2021","Radier, Piso de Concreto e Laje sobre Solo",,m²,"1,0000000","173,72","173,72"
Composição Auxiliar, 96624 ,SINAPI,"LASTRO COM MATERIAL GRANULAR (PEDRA BRITADA N.2), APLICADO EM PISOS OU LAJES SOBRE SOLO, ESPESSURA DE *10 CM*. AF_01/2024",Lastro,,m³,"0,1000000","169,88","16,98"
Composição Auxiliar, 97082 ,SINAPI,ESCAVAÇÃO MANUAL DE VIGA DE BORDA PARA RADIER. AF_09/2021,"Radier, Piso de Concreto e Laje sobre Solo",,m³,"0,0350000","67,86","2,37"
Composição Auxiliar, 97083 ,SINAPI,"COMPACTAÇÃO MECÂNICA DE SOLO PARA EXECUÇÃO DE RADIER, PISO DE CONCRETO OU LAJE SOBRE SOLO, COM COMPACTADOR DE SOLOS A PERCUSSÃO. AF_09/2021","Radier, Piso de Concreto e Laje sobre Solo",,m²,"1,0000000","3,53","3,53"
Composição Auxiliar, 97086 ,SINAPI,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FORMA PARA RADIER, PISO DE CONCRETO OU LAJE SOBRE SOLO, EM MADEIRA SERRADA, 4 UTILIZAÇÕES. AF_09/2021","Radier, Piso de Concreto e Laje sobre Solo",,m²,"0,1000000","131,62","13,16"
Composição Auxiliar, 97087 ,SINAPI,"CAMADA SEPARADORA PARA EXECUÇÃO DE RADIER, PISO DE CONCRETO OU LAJE SOBRE SOLO, EM LONA PLÁSTICA. AF_09/2021","Radier, Piso de Concreto e Laje sobre Solo",,m²,"1,2400000","1,52","1,88"
Composição Auxiliar, 97090 ,SINAPI,"ARMAÇÃO PARA EXECUÇÃO DE RADIER, PISO DE CONCRETO OU LAJE SOBRE SOLO, COM USO DE TELA Q-138. AF_09/2021","Radier, Piso de Concreto e Laje sobre Solo",,KG,"4,4000000","10,51","46,24"
Composição Auxiliar, 97096 ,SINAPI,"CONCRETAGEM DE RADIER, PISO DE CONCRETO OU LAJE SOBRE SOLO, FCK 30 MPA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_09/2021","Radier, Piso de Concreto e Laje sobre Solo",,m³,"0,1850000","484,13","89,56"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 7 ,,,ALVENARIA/VEDAÇÃO/DIVISÓRIA,,,,,,
 7.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 103328 ,SINAPI,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,Alvenaria de Vedação,,m²,"1,0000000","77,18","77,18"
Composição Auxiliar, 87292 ,SINAPI,"ARGAMASSA TRAÇO 1:2:8 (EM VOLUME DE CIMENTO, CAL E AREIA MÉDIA ÚMIDA) PARA EMBOÇO/MASSA ÚNICA/ASSENTAMENTO DE ALVENARIA DE VEDAÇÃO, PREPARO MECÂNICO COM BETONEIRA 400 L. AF_08/2019",Argamassas,,m³,"0,0091000","529,30","4,81"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,2779420","29,21","37,32"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,6389709","23,37","14,93"
Insumo, 00007271 ,SINAPI,"BLOCO CERAMICO / TIJOLO VAZADO PARA ALVENARIA DE VEDACAO, 8 FUROS NA HORIZONTAL DE 9 X 19 X 19 CM (L X A X C)",Material,,UN,"28,3100000","0,68","19,25"
Insumo, 00034557 ,SINAPI,"TELA DE ACO SOLDADA GALVANIZADA/ZINCADA PARA ALVENARIA, FIO D = *1,20 A 1,70* MM, MALHA 15 X 15 MM, (C X L) *50 X 7,5* CM",Material,,M,"0,4200000","1,66","0,69"
Insumo, 00037395 ,SINAPI,"PINO DE ACO COM FURO, HASTE = 27 MM (ACAO DIRETA)",Material,,CENTO,"0,0050000","36,20","0,18"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 7.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 103324 ,SINAPI,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 14X19X39 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,Alvenaria de Vedação,,m²,"1,0000000","64,21","64,21"
Composição Auxiliar, 87292 ,SINAPI,"ARGAMASSA TRAÇO 1:2:8 (EM VOLUME DE CIMENTO, CAL E AREIA MÉDIA ÚMIDA) PARA EMBOÇO/MASSA ÚNICA/ASSENTAMENTO DE ALVENARIA DE VEDAÇÃO, PREPARO MECÂNICO COM BETONEIRA 400 L. AF_08/2019",Argamassas,,m³,"0,0118000","529,30","6,24"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,6771567","29,21","19,77"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,3385784","23,37","7,91"
Insumo, 00034547 ,SINAPI,"TELA DE ACO SOLDADA GALVANIZADA/ZINCADA PARA ALVENARIA, FIO D = *1,20 A 1,70* MM, MALHA 15 X 15 MM, (C X L) *50 X 12* CM",Material,,M,"0,4200000","2,62","1,10"
Insumo, 00037395 ,SINAPI,"PINO DE ACO COM FURO, HASTE = 27 MM (ACAO DIRETA)",Material,,CENTO,"0,0100000","36,20","0,36"
Insumo, 00037593 ,SINAPI,"BLOCO CERAMICO / TIJOLO VAZADO PARA ALVENARIA DE VEDACAO, FUROS NA VERTICAL DE 14 X 19 X 39 CM (L X A X C)",Material,,UN,"13,6000000","2,12","28,83"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 7.3 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 101161 ,SINAPI,ALVENARIA DE VEDAÇÃO COM ELEMENTO VAZADO DE CONCRETO (COBOGÓ) DE 7X50X50CM E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020,Alvenarias Diversas,,m²,"1,0000000","193,71","193,71"
Composição Auxiliar, 100489 ,SINAPI,"ARGAMASSA TRAÇO 1:3 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MECÂNICO COM BETONEIRA 600 L. AF_08/2019",Argamassas,,m³,"0,0100000","480,31","4,80"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,6271497","29,21","47,52"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,8139707","23,37","19,02"
Insumo, 00000665 ,SINAPI,"ELEMENTO VAZADO DE CONCRETO, QUADRICULADO, 16 FUROS *50 X 50 X 7* CM",Material,,UN,"3,9500000","30,98","122,37"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 7.4 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 93187 ,SINAPI,"VERGA MOLDADA IN LOCO EM CONCRETO, ESPESSURA DE *20* CM. AF_03/2024","Vergas, contravergas e fixação de alvenaria",,M,"1,0000000","64,17","64,17"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,4400306","29,21","12,85"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2200153","23,37","5,14"
Composição Auxiliar, 92270 ,SINAPI,"FABRICAÇÃO DE FÔRMA PARA VIGAS, COM MADEIRA SERRADA, E = 25 MM. AF_09/2020",Fôrmas para Estruturas de Concreto Armado,,m²,"0,1140000","157,72","17,98"
Composição Auxiliar, 92802 ,SINAPI,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 8,0 MM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"0,7900000","8,85","6,99"
Composição Auxiliar, 94964 ,SINAPI,"CONCRETO FCK = 20MPA, TRAÇO 1:2,7:3 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",Produção de Concreto,,m³,"0,0430000","423,37","18,20"
Insumo, 00002692 ,SINAPI,"DESMOLDANTE PROTETOR PARA FORMAS DE MADEIRA, DE BASE OLEOSA EMULSIONADA EM AGUA",Material,,L,"0,0100000","7,96","0,07"
Insumo, 00004491 ,SINAPI,"PONTALETE *7,5 X 7,5* CM EM PINUS, MISTA OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"0,2030000","9,17","1,86"
Insumo, 00039017 ,SINAPI,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",Material,,UN,"6,0000000","0,18","1,08"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 7.5 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 105030 ,SINAPI,"CONTRAVERGA MOLDADA IN LOCO EM CONCRETO, ESPESSURA DE *10* CM. AF_03/2024","Vergas, contravergas e fixação de alvenaria",,M,"1,0000000","34,79","34,79"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1414085","29,21","4,13"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0710363","23,37","1,66"
Composição Auxiliar, 92270 ,SINAPI,"FABRICAÇÃO DE FÔRMA PARA VIGAS, COM MADEIRA SERRADA, E = 25 MM. AF_09/2020",Fôrmas para Estruturas de Concreto Armado,,m²,"0,0760000","157,72","11,98"
Composição Auxiliar, 92802 ,SINAPI,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 8,0 MM. AF_06/2022",Armação para Estruturas de Concreto Armado,,KG,"0,7900000","8,85","6,99"
Composição Auxiliar, 94964 ,SINAPI,"CONCRETO FCK = 20MPA, TRAÇO 1:2,7:3 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",Produção de Concreto,,m³,"0,0210000","423,37","8,89"
