,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,,,,,,
,,Construção do Bloco O de salas de aula do Campus Juazeiro do Norte,,"SINAPI - 04/2025 - Ceará
10.2.5.4,93655,SINAPI,"DISJUNTOR MONOPOLAR TIPO DIN, CORRENTE NOMINAL DE 20A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 10,65","6,00","R$ 63,90","R$ 77,60",,,,,,
10.2.5.5,J0043,UFCA,"DISJUNTOR DIFERENCIAL DR – 16A – 40A, 30mA",UN,"R$ 133,20","6,00","R$ 799,20","R$ 970,62",,,,,,
10.2.5.6,J0177,UFCA,DISPOSITIVO DE PROTEÇÃO CONTRA SURTOS DE TENSÃO (DPS) - 40 KA/275V - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 91,42","4,00","R$ 365,68","R$ 444,11",,,,,,
10.2.5.7,101894,SINAPI,"DISJUNTOR TRIPOLAR TIPO NEMA, CORRENTE NOMINAL DE 60 ATÉ 100A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 123,08","1,00","R$ 123,08","R$ 149,48",,,,,,
10.2.5.8,101902,SINAPI,CONTATOR TRIPOLAR I NOMINAL 22A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020,UN,"R$ 175,37","2,00","R$ 350,74","R$ 425,97",,,,,,
10.2.5.9,J0057,UFCA,TIMER DIGITAL 16A 230V,UN,"R$ 374,79","2,00","R$ 749,58","R$ 910,36",,,,,,
10.3,,,SISTEMA DE PROTEÇÃO CONTRA DESCARGAS ATMOSFÉRICAS (SPDA),,,,,,,,,,,
10.3.1,,,"CAIXAS, CABOS E ACESSÓRIOS",,,,,,,,,,,
10.3.1.1,97881,SINAPI,"CAIXA ENTERRADA ELÉTRICA RETANGULAR, EM CONCRETO PRÉ-MOLDADO, FUNDO COM BRITA, DIMENSÕES INTERNAS: 0,3X0,3X0,3 M. AF_12/2020",UN,"R$ 127,12","14,00","R$ 1.779,68","R$ 2.161,42",,,,,,
10.3.1.10,J0120,UFCA,PARAFUSO INOX COM PORCA DE ¼”,UN,"R$ 4,82","600,00","R$ 2.892,00","R$ 3.512,33",,,,,,
10.3.1.11,J0123,UFCA,SUPORTE ISOLADOR COLÁVEL/PARAFUSÁVEL PARA BARRA CHATA DE ALUMÍNIO,UN,"R$ 11,75","300,00","R$ 3.525,00","R$ 4.281,11",,,,,,
10.3.1.12,J0098,UFCA,"CONECTOR METÁLICO TIPO PARAFUSO FENDIDO (SPLIT BOLT), PARA CABOS ATE 50 MM2",UN,"R$ 15,96","14,00","R$ 223,44","R$ 271,36",,,,,,
10.3.1.2,96985,SINAPI,"HASTE DE ATERRAMENTO, DIÂMETRO 5/8"", COM 3 METROS - FORNECIMENTO E INSTALAÇÃO. AF_08/2023",UN,"R$ 61,96","14,00","R$ 867,44","R$ 1.053,50",,,,,,
10.3.1.3,96977,SINAPI,"CORDOALHA DE COBRE NU 50 MM², ENTERRADA - FORNECIMENTO E INSTALAÇÃO. AF_08/2023",M,"R$ 48,22","150,00","R$ 7.233,00","R$ 8.784,47",,,,,,
10.3.1.4,90105,SINAPI,"ESCAVAÇÃO MECANIZADA DE VALA COM PROFUNDIDADE ATÉ 1,5 M (MÉDIA MONTANTE E JUSANTE/UMA COMPOSIÇÃO POR TRECHO), RETROESCAV. (0,26 M3), LARGURA MENOR QUE 0,8 M, EM SOLO DE 1A CATEGORIA, LOCAIS COM BAIXO NÍVEL DE INTERFERÊNCIA. AF_09/2024",M3,"R$ 7,49","45,00","R$ 337,05","R$ 409,34",,,,,,
10.3.1.5,93378,SINAPI,"REATERRO MECANIZADO DE VALA COM RETROESCAVADEIRA (CAPACIDADE DA CAÇAMBA DA RETRO: 0,26 M³/POTÊNCIA: 88 HP), LARGURA ATÉ 0,8 M, PROFUNDIDADE ATÉ 1,5 M, COM SOLO (SEM SUBSTITUIÇÃO) DE 1ª CATEGORIA, COM COMPACTADOR DE SOLOS DE PERCUSSÃO. AF_08/2023",M3,"R$ 22,65","45,00","R$ 1.019,25","R$ 1.237,87",,,,,,
10.3.1.6,J0032,UFCA,SOLDA EXOTÉRMICA,UN,"R$ 32,36","14,00","R$ 453,04","R$ 550,21",,,,,,
10.3.1.7,J0101,UFCA,"BARRA DE AÇO REDONDA RE-BAR 3/8” x 3,00m",UN,"R$ 45,28","40,00","R$ 1.811,20","R$ 2.199,70",,,,,,
10.3.1.8,J0085,UFCA,"CAIXA DE EQUIPOTENCIALIZAÇÃO EM  AÇO, COM 9 TERMINAIS",UN,"R$ 319,96","1,00","R$ 319,96","R$ 388,59",,,,,,
10.3.1.9,J0097,UFCA,BARRA CHATA DE ALUMÍNIO 7/8”x 1/8”,M,"R$ 14,06","300,00","R$ 4.218,00","R$ 5.122,76",,,,,,
10.4,,,CIRCUITOS DE CONDICIONADORES DE AR,,,,,,,,,,,
10.4.1,,,CABOS E TERMINAIS DOS CABOS,,,,,,,,,,,
10.4.1.1,91926,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 2,5 MM², ANTI-CHAMA 450/750 V, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 3,62","750,00","R$ 2.715,00","R$ 3.297,36",,,,,,
10.4.1.2,91928,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 4 MM², ANTI-CHAMA 450/750 V, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 5,61","2250,00","R$ 12.622,50","R$ 15.330,02",,,,,,
10.4.1.3,91930,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 6 MM², ANTI-CHAMA 450/750 V, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 7,84","2550,00","R$ 19.992,00","R$ 24.280,28",,,,,,
10.4.1.4,J0135,UFCA,"TERMINAL OLHAL PARA CABO DE 4,00MM2 À 6,00MM2",UN,"R$ 7,78","93,00","R$ 723,54","R$ 878,73",,,,,,
10.4.2,,,"ELETROCALHAS, ELETRODUTOS E ACESSÓRIOS",,,,,,,,,,,
10.4.2.1,91863,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADO EM FORRO - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 8,65","258,00","R$ 2.231,70","R$ 2.710,39",,,,"127,5","40,5m Parede Norte; 40,5m Parede Sul; 46,5m Aéreo","Para Ar condicionado, essa foi a quantidade necessária"
10.4.2.10,J0188,UFCA,TÊ HORIZONTAL PARA ELETROCALHA PERFURADA 50x100mm - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 36,05","1,00","R$ 36,05","R$ 43,78",,,,1,Derivação no inicio do corredor,Foi usado 50x50
10.4.2.11,J0127,UFCA,EMENDA INTERNA PARA ELETROCALHA PERFURADA 50x100mm - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 12,86","6,00","R$ 77,16","R$ 93,71",,,,6,,
10.4.2.12,J0212,UFCA,ELETROCALHA PERFURADA 50x50mm,M,"R$ 51,19","90,00","R$ 4.607,10","R$ 5.595,32",,,,90,45m Lado Norte; 45m Lado Sul,
10.4.2.13,J0213,UFCA,SUPORTE VERTICAL 50X50MM PARA ELETROCALHA METÁLICA,M,"R$ 13,67","76,00","R$ 1.038,92","R$ 1.261,76",,,,54,27 lado Norte; 27 lado sul,
10.4.2.14,J0215,UFCA,EMENDA INTERNA PARA ELETROCALHA PERFURADA 50x50mm,M,"R$ 12,32","30,00","R$ 369,60","R$ 448,87",,,,26,12 Lado Norte; 12 Lado Sul; 2 Centrais,
10.4.2.15,J0189,UFCA,"SAÍDA HORIZONTAL PARA ELETRODUTO ATÉ 1""",UN,"R$ 8,39","31,00","R$ 260,09","R$ 315,87",,,,31,15 lado norte; 16 lado sul,
10.4.2.16,J0191,UFCA,"VERGALHÃO TIRANTE COM ROSCA 1/4""",M,"R$ 10,83","50,00","R$ 541,50","R$ 657,65",,,,50,"8,64 lado norte; 8,64 lado sul; 9,92 eletrocalha luz e forca terreo; eletrocalha luz e forca superior","Foi usado vergalhão 3/8"""
10.4.2.2,91875,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADA EM FORRO - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 6,67","88,00","R$ 586,96","R$ 712,86",,,,60,,
10.4.2.3,91890,SINAPI,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADA EM FORRO - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 10,62","41,00","R$ 435,42","R$ 528,81",,,,31,,
10.4.2.4,91941,SINAPI,"CAIXA RETANGULAR 4"" X 2"" BAIXA (0,30 M DO PISO), PVC, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 9,03","57,00","R$ 514,71","R$ 625,11",,,,31,,
10.4.2.5,91947,SINAPI,"SUPORTE PARAFUSADO COM PLACA DE ENCAIXE 4"" X 2"" BAIXO (0,30 M DO PISO) PARA PONTO ELÉTRICO - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 7,58","31,00","R$ 234,98","R$ 285,38",,,,,,
10.4.2.6,104780,SINAPI,"RASGO LINEAR MECANIZADO EM ALVENARIA, PARA ELETRODUTOS, DIÂMETROS MENORES OU IGUAIS A 40 MM. AF_09/2023",M,"R$ 5,64","93,00","R$ 524,52","R$ 637,02",,,,81,,
10.4.2.7,104785,SINAPI,"FIXAÇÃO DE ELETRODUTOS, DIÂMETROS MENORES OU IGUAIS A 40 MM, COM ABRAÇADEIRA METÁLICA RÍGIDA TIPO D COM PARAFUSO DE FIXAÇÃO 1 1/4"", FIXADA DIRETAMENTE NA LAJE OU PAREDE. AF_09/2023",M,"R$ 12,66","87,00","R$ 1.101,42","R$ 1.337,67",,,,"46,5",,
10.4.2.8,J0124,UFCA,ELETROCALHA PERFURADA 50x100mm - FORNECIMENTO E INSTALAÇÃO,M,"R$ 54,20","20,00","R$ 1.084,00","R$ 1.316,51",,,,10,,
10.4.2.9,J0187,UFCA,SUPORTE VERTICAL 100X50MM PARA ELETROCALHA METÁLICA,UN,"R$ 14,29","20,00","R$ 285,80","R$ 347,10",,,,7,,2 foram usados mão francesa
10.5,,,ILUMINAÇÃO E TOMADAS,,,,,,,,,,,
10.5.1,,,"TOMADAS, INTERRUPTORES E CAIXAS DE PASSAGEM",,,,,,,,,,,
10.5.1.1,92000,SINAPI,"TOMADA BAIXA DE EMBUTIR (1 MÓDULO), 2P+T 10 A, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 30,22","128,00","R$ 3.868,16","R$ 4.697,88",,,,,,
10.5.1.10,91941,SINAPI,"CAIXA RETANGULAR 4"" X 2"" BAIXA (0,30 M DO PISO), PVC, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 9,03","244,00","R$ 2.203,32","R$ 2.675,93",,,,64,64 pavimento térreo; ,
10.5.1.11,91940,SINAPI,"CAIXA RETANGULAR 4"" X 2"" MÉDIA (1,30 M DO PISO), PVC, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 14,57","43,00","R$ 626,51","R$ 760,89",,,,18,18 pavimento térreo;,
10.5.1.12,91939,SINAPI,"CAIXA RETANGULAR 4"" X 2"" ALTA (2,00 M DO PISO), PVC, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 25,86","44,00","R$ 1.137,84","R$ 1.381,90",,,,17,17 pavimento térreo;,
10.5.1.13,91936,SINAPI,"CAIXA OCTOGONAL 4"" X 4"", PVC, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 13,34","319,00","R$ 4.255,46","R$ 5.168,25",,,,253,126 pavimento térreo; 127 superior,
10.5.1.2,91996,SINAPI,"TOMADA MÉDIA DE EMBUTIR (1 MÓDULO), 2P+T 10 A, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 34,32","3,00","R$ 102,96","R$ 125,04",,,,,,
10.5.1.3,91992,SINAPI,"TOMADA ALTA DE EMBUTIR (1 MÓDULO), 2P+T 10 A, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 44,90","44,00","R$ 1.975,60","R$ 2.399,36",,,,,,
10.5.1.4,92008,SINAPI,"TOMADA BAIXA DE EMBUTIR (2 MÓDULOS), 2P+T 10 A, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 46,42","96,00","R$ 4.456,32","R$ 5.412,20",,,,,,
10.5.1.5,92004,SINAPI,"TOMADA MÉDIA DE EMBUTIR (2 MÓDULOS), 2P+T 10 A, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 54,66","5,00","R$ 273,30","R$ 331,92",,,,,,
10.5.1.6,91953,SINAPI,"INTERRUPTOR SIMPLES (1 MÓDULO), 10A/250V, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 28,90","14,00","R$ 404,60","R$ 491,38",,,,,,
10.5.1.7,91959,SINAPI,"INTERRUPTOR SIMPLES (2 MÓDULOS), 10A/250V, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 43,82","18,00","R$ 788,76","R$ 957,94",,,,,,
10.5.1.8,91967,SINAPI,"INTERRUPTOR SIMPLES (3 MÓDULOS), 10A/250V, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 58,75","1,00","R$ 58,75","R$ 71,35",,,,,,
10.5.1.9,91955,SINAPI,"INTERRUPTOR PARALELO (1 MÓDULO), 10A/250V, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 35,25","2,00","R$ 70,50","R$ 85,62",,,,,,
10.5.2,,,LUMINÁRIAS E LÂMPADAS,,,,,,,,,,,
10.5.2.1,J0102,UFCA,"LUMINÁRIA TIPO CALHA, DE EMBUTIR, CORPO/REFLETOR E ALETAS FABRICADAS EM CHAPA DE AÇO TRATADA E PINTADA EM EPOXI BRANCO, COM DUAS LÂMPADAS TUBULARES LED DE 18W",UN,"R$ 126,79","227,00","R$ 28.781,33","R$ 34.954,92",,,,,,
10.5.2.2,J0103,UFCA,"LUMINÁRIA TIPO CALHA, DE SOBREPOR/EMBUTIR, CORPO/REFLETOR E ALETAS FABRICADAS EM CHAPA DE AÇO TRATADA E PINTADA EM EPOXI BRANCO, COM DUAS LÂMPADAS TUBULARES LED DE 9W",UN,"R$ 130,31","72,00","R$ 9.382,32","R$ 11.394,82",,,,,,
10.5.2.3,97599,SINAPI,"LUMINÁRIA DE EMERGÊNCIA, COM 30 LÂMPADAS LED DE 2 W, SEM REATOR - FORNECIMENTO E INSTALAÇÃO. AF_09/2024",UN,"R$ 15,55","16,00","R$ 248,80","R$ 302,16",,,,,,
10.5.2.4,J0206,UFCA,"LUMINÁRIA DE EMERGÊNCIA DE SOBREPOR, COM BLOCO AUTÔNOMO, 1200 LUMENS",UN,"R$ 173,41","13,00","R$ 2.254,33","R$ 2.737,88",,,,,,
10.5.2.5,J0233,UFCA,FITA DE LED DE BAIXA LUMINOSIDADE AUTOCOLANTE SEM PERFIL E COM FONTE,M,"R$ 24,97","52,83","R$ 1.319,16","R$ 1.602,11",,,,,,
10.5.3,,,"CANALETAS, ELETRODUTOS E ACESSÓRIOS",,,,,,,,,,,
10.5.3.1,91867,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADO EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 7,56","718,92","R$ 5.435,03","R$ 6.600,84",,,,545,300m pavimento térreo; 245m pavimento superior,
10.5.3.10,J0011,UFCA,CANALETA EVOLUTIVA SISTEMA DLP 60X50 MM COM DIVISÓRIA INTERNA - FORNECIMENTO E INSTALAÇÃO,M,"R$ 69,10","75,00","R$ 5.182,50","R$ 6.294,14",,,,,,
10.5.3.11,J0015,UFCA,SUPORTE PARA 3 MÓDULOS DE TOMADAS E/OU INTERRUPTORES EM CANALETA EVOLUTIVA - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 18,78","70,00","R$ 1.314,60","R$ 1.596,58",,,,,,
10.5.3.12,91947,SINAPI,"SUPORTE PARAFUSADO COM PLACA DE ENCAIXE 4"" X 2"" BAIXO (0,30 M DO PISO) PARA PONTO ELÉTRICO - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 7,58","70,00","R$ 530,60","R$ 644,41",,,,,,
10.5.3.2,91871,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 11,17","536,56","R$ 5.993,37","R$ 7.278,94",,,,170,170 terreo,
10.5.3.3,91902,SINAPI,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 8,69","135,00","R$ 1.173,15","R$ 1.424,79",,,,38,terreo,
10.5.3.4,91914,SINAPI,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 14,49","14,00","R$ 202,86","R$ 246,37",,,,10,terreo,
10.5.3.5,91879,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 5,40","270,00","R$ 1.458,00","R$ 1.770,74",,,,270,,
10.5.3.6,91884,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 9,27","28,00","R$ 259,56","R$ 315,23",,,,28,,
10.5.3.7,91868,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 32 MM (1""), PARA CIRCUITOS TERMINAIS, INSTALADO EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 10,42","28,57","R$ 297,69","R$ 361,54",,,,,,
10.5.3.8,91905,SINAPI,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 32 MM (1""), PARA CIRCUITOS TERMINAIS, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 11,02","8,00","R$ 88,16","R$ 107,07",,,,,,
10.5.3.9,91880,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 32 MM (1""), PARA CIRCUITOS TERMINAIS, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 6,70","10,00","R$ 67,00","R$ 81,37",,,,,,
10.5.4,,,ELETROCALHAS E ACESSÓRIOS,,,,,,,,,,,
10.5.4.1,J0212,UFCA,ELETROCALHA PERFURADA 50x50mm,M,"R$ 51,19","114,10","R$ 5.840,77","R$ 7.093,61",,,,104,54 terreo; 50 superior,
10.5.4.2,J0213,UFCA,SUPORTE VERTICAL 50X50MM PARA ELETROCALHA METÁLICA,M,"R$ 13,67","100,00","R$ 1.367,00","R$ 1.660,22",,,,63,31 terreo; 32 superior,
10.5.4.3,J0214,UFCA,TÊ HORIZONTAL PARA ELETROCALHA PERFURADA 50x50mm,M,"R$ 28,78","2,00","R$ 57,56","R$ 69,90",,,,2,1 terreo; 1 superior,
10.5.4.4,J0215,UFCA,EMENDA INTERNA PARA ELETROCALHA PERFURADA 50x50mm,M,"R$ 12,32","40,00","R$ 492,80","R$ 598,50",,,,30,15 terreo; 15 superior,
10.5.4.5,J0189,UFCA,"SAÍDA HORIZONTAL PARA ELETRODUTO ATÉ 1""",UN,"R$ 8,39","6,00","R$ 50,34","R$ 61,13",,,,18,12 terreo; 6 superior,
10.5.5,,,CABOS E TERMINAIS DOS CABOS,,,,,,,,,,,
10.5.5.1,91926,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 2,5 MM², ANTI-CHAMA 450/750 V, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 3,62","10490,00","R$ 37.973,80","R$ 46.119,18",,,,,,
10.6,,,ALIMENTADORES ELÉTRICOS,,,,,,,,,,,
10.6.1,,,CABOS E TERMINAIS DOS CABOS,,,,,,,,,,,
10.6.1.1,91931,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 6 MM², ANTI-CHAMA 0,6/1,0 KV, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 8,46","480,00","R$ 4.060,80","R$ 4.931,84",,,,,,
10.6.1.10,J0138,UFCA,TERMINAL A COMPRESSÃO PARA CABO DE 50 mm² A 120mm²,UN,"R$ 13,81","8,00","R$ 110,48","R$ 134,17",,,,,,
10.6.1.2,91929,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 4 MM², ANTI-CHAMA 0,6/1,0 KV, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 6,00","50,00","R$ 300,00","R$ 364,35",,,,,,
10.6.1.3,92982,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 16 MM², ANTI-CHAMA 0,6/1,0 KV, PARA DISTRIBUIÇÃO - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",M,"R$ 14,01","491,00","R$ 6.878,91","R$ 8.354,43",,,,,,
10.6.1.4,101889,SINAPI,"CABO DE COBRE ISOLADO, 25 MM², ANTI-CHAMA 0,6/1 KV, INSTALADO EM ELETROCALHA OU PERFILADO - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",M,"R$ 21,36","953,00","R$ 20.356,08","R$ 24.722,45",,,,,,
10.6.1.5,92986,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 35 MM², ANTI-CHAMA 0,6/1,0 KV, PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",M,"R$ 32,14","80,00","R$ 2.571,20","R$ 3.122,72",,,,,,
10.6.1.6,J0134,UFCA,"CABO DE COBRE ISOLADO, 50 MM², ANTI-CHAMA 0,6/1 KV, INSTALADO EM ELETROCALHA OU PERFILADO - FORNECIMENTO E INSTALAÇÃO",M,"R$ 42,92","36,00","R$ 1.545,12","R$ 1.876,54",,,,,,
10.6.1.7,J0135,UFCA,"TERMINAL OLHAL PARA CABO DE 4,00MM2 À 6,00MM2",UN,"R$ 7,78","20,00","R$ 155,60","R$ 188,97",,,,,,
10.6.1.8,J0136,UFCA,TERMINAL A COMPRESSÃO PARA CABO DE 10 mm² A 16mm²,UN,"R$ 5,96","22,00","R$ 131,12","R$ 159,24",,,,,,
10.6.1.9,J0137,UFCA,TERMINAL A COMPRESSÃO PARA CABO DE 25 mm² A 35mm²,UN,"R$ 6,87","30,00","R$ 206,10","R$ 250,30",,,,,,
10.6.2,,,ELETROCALHA E ACESSÓRIOS,,,,,,,,,,,
10.6.2.1,J0125,UFCA,ELETROCALHA PERFURADA 50x200mm - FORNECIMENTO E INSTALAÇÃO,M,"R$ 77,44","9,00","R$ 696,96","R$ 846,45",,,,9,9 terreo,
10.6.2.2,J0128,UFCA,EMENDA INTERNA PARA ELETROCALHA PERFURADA 50x200mm - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 11,95","3,00","R$ 35,85","R$ 43,53",,,,1,terreo,
10.6.2.3,J0132,UFCA,CURVA HORIZONTAL 90° PARA ELETROCALHA 50x200mm - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 30,34","2,00","R$ 60,68","R$ 73,69",,,,2,terreo,
10.6.2.4,J0130,UFCA,REDUÇÃO CONCÊNTRICA DA ELETROCALHA PERFURADA 50x200mm / 50x100mm - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 39,41","4,00","R$ 157,64","R$ 191,45",,,,1,1 terreo,Foi feita conexão manual
10.6.2.5,J0147,UFCA,"SUPORTE TIRANTE PARA ELETROCALHA 50x200mm COM VERGALHÃO, PORCAS, ARRUELAS E PARABOLTS - FORNECIMENTO E INSTALAÇÃO",UN,"R$ 23,35","9,00","R$ 210,15","R$ 255,22",,,,8,2 terreo,Foi usado 6 maos francesas
10.6.2.6,J0124,UFCA,ELETROCALHA PERFURADA 50x100mm - FORNECIMENTO E INSTALAÇÃO,M,"R$ 54,20","18,00","R$ 975,60","R$ 1.184,86",,,,9,9 terreo,
10.6.2.7,J0188,UFCA,TÊ HORIZONTAL PARA ELETROCALHA PERFURADA 50x100mm - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 36,05","4,00","R$ 144,20","R$ 175,13",,,,2,1 terreo; 1 superior,
10.6.3,,,ELETRODUTOS E ACESSÓRIOS,,,,,,,,,,,
10.6.3.1,97667,SINAPI,"ELETRODUTO FLEXÍVEL CORRUGADO, PEAD, DN 50 (1 1/2""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",M,"R$ 6,58","102,00","R$ 671,16","R$ 815,12",,,,,,
10.6.3.10,J0204,UFCA,CURVA PARA ELETRODUTO DE AÇO GALVANIZADO DN 25 MM (1'') - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 19,32","2,00","R$ 38,64","R$ 46,92",,,,,,
10.6.3.2,J0121,UFCA,FITA DE ADVERTÊNCIA DE REDE ELÉTRICA ENTERRADA,M,"R$ 2,07","102,00","R$ 211,14","R$ 256,42",,,,,,
10.6.3.3,93009,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 60 MM (2""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",M,"R$ 19,69","6,00","R$ 118,14","R$ 143,48",,,,,,
10.6.3.4,93014,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 60 MM (2""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",UN,"R$ 14,30","2,00","R$ 28,60","R$ 34,73",,,,,,
