,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,,,,,,
,,Construção do Bloco O de salas de aula do Campus Juazeiro do Norte,,"SINAPI - 04/2025 - Ceará
10.1.1.7,J0231,UFCA,"CABO DE ALUMÍNIO SIMPLES, TIPO CAA, BITOLA 1/0 AWG - FORNECIMENTO E INSTALAÇÃO",M,"R$ 9,04","9,00","R$ 81,36","R$ 98,81",,,,,,
10.1.1.8,J0155,UFCA,CONECTOR CUNHA - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 20,17","3,00","R$ 60,51","R$ 73,48",,,,,,
10.1.1.9,J0156,UFCA,ESTRUTURA TIPO CFR (CONJUNTO TRIFÁSICO DE CHAVE FUSÍVEIS EM CRUZETA REBAIXADA),UN,"R$ 1.209,46","1,00","R$ 1.209,46","R$ 1.468,88",,,,,,
10.1.2,,,MALHA DE TERRA,,,,,,,,,,,
10.1.2.1,96977,SINAPI,"CORDOALHA DE COBRE NU 50 MM², ENTERRADA - FORNECIMENTO E INSTALAÇÃO. AF_08/2023",M,"R$ 48,22","48,10","R$ 2.319,38","R$ 2.816,88",,,,,,
10.1.2.2,96985,SINAPI,"HASTE DE ATERRAMENTO, DIÂMETRO 5/8"", COM 3 METROS - FORNECIMENTO E INSTALAÇÃO. AF_08/2023",UN,"R$ 61,96","6,00","R$ 371,76","R$ 451,50",,,,,,
10.1.2.3,J0032,UFCA,SOLDA EXOTÉRMICA,UN,"R$ 32,36","6,00","R$ 194,16","R$ 235,80",,,,,,
10.1.2.4,97886,SINAPI,"CAIXA ENTERRADA ELÉTRICA RETANGULAR, EM ALVENARIA COM TIJOLOS CERÂMICOS MACIÇOS, FUNDO COM BRITA, DIMENSÕES INTERNAS: 0,3X0,3X0,3 M. AF_12/2020",UN,"R$ 137,69","6,00","R$ 826,14","R$ 1.003,34",,,,,,
10.1.2.5,93358,SINAPI,ESCAVAÇÃO MANUAL DE VALA. AF_09/2024,M3,"R$ 73,77","3,45","R$ 254,50","R$ 309,09",,,,,,
10.1.2.6,104737,SINAPI,"REATERRO MANUAL DE VALAS, COM PLACA VIBRATÓRIA. AF_08/2023",M3,"R$ 18,73","2,70","R$ 50,57","R$ 61,41",,,,,,
10.1.3,,,DESLOCAMENTO DE POSTE,,,,,,,,,,,
10.1.3.1,J0159,UFCA,"REMOÇÃO DE POSTE 12 M, CARGA NOMINAL MENOR OU IGUAL A 1000 DAN, ENGASTAMENTO SIMPLES COM 1,8 M",UN,"R$ 167,46","2,00","R$ 334,92","R$ 406,76",,,,,,
10.1.3.2,J0231,UFCA,"CABO DE ALUMÍNIO SIMPLES, TIPO CAA, BITOLA 1/0 AWG - FORNECIMENTO E INSTALAÇÃO",M,"R$ 9,04","32,70","R$ 295,60","R$ 359,00",,,,,,
10.1.3.3,J0155,UFCA,CONECTOR CUNHA - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 20,17","6,00","R$ 121,02","R$ 146,97",,,,,,
10.1.4,,,CABOS E TERMINAIS DOS CABOS,,,,,,,,,,,
10.1.4.1,93000,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 240 MM², ANTI-CHAMA 0,6/1,0 KV, PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",M,"R$ 213,03","184,80","R$ 39.367,94","R$ 47.812,36",,,,,,
10.1.4.2,92994,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 120 MM², ANTI-CHAMA 0,6/1,0 KV, PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",M,"R$ 108,52","46,20","R$ 5.013,62","R$ 6.089,04",,,,,,
10.1.4.3,J0138,UFCA,TERMINAL A COMPRESSÃO PARA CABO DE 50 mm² A 120mm²,UN,"R$ 13,81","1,00","R$ 13,81","R$ 16,77",,,,,,
10.1.4.4,J0148,UFCA,TERMINAL A COMPRESSÃO PARA CABO DE 150 mm² A 240mm²,UN,"R$ 39,41","4,00","R$ 157,64","R$ 191,45",,,,,,
10.1.5,,,ELETRODUTOS E ACESSÓRIOS,,,,,,,,,,,
10.1.5.1,97670,SINAPI,"ELETRODUTO FLEXÍVEL CORRUGADO, PEAD, DN 100 (4""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",M,"R$ 17,78","40,00","R$ 711,20","R$ 863,75",,,,,,
10.1.5.2,93012,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 110 MM (4""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",M,"R$ 49,87","3,20","R$ 159,58","R$ 193,80",,,,,,
10.1.5.3,93026,SINAPI,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 110 MM (4""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",UN,"R$ 56,28","1,00","R$ 56,28","R$ 68,35",,,,,,
10.1.5.4,93017,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 110 MM (4""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",UN,"R$ 34,72","3,00","R$ 104,16","R$ 126,50",,,,,,
10.1.5.5,104785,SINAPI,"FIXAÇÃO DE ELETRODUTOS, DIÂMETROS MENORES OU IGUAIS A 40 MM, COM ABRAÇADEIRA METÁLICA RÍGIDA TIPO D COM PARAFUSO DE FIXAÇÃO 1 1/4"", FIXADA DIRETAMENTE NA LAJE OU PAREDE. AF_09/2023",M,"R$ 12,66","2,00","R$ 25,32","R$ 30,75",,,,,,
10.1.5.6,93358,SINAPI,ESCAVAÇÃO MANUAL DE VALA. AF_09/2024,M3,"R$ 73,77","5,06","R$ 373,27","R$ 453,33",,,,,,
