,,,,,,,,,,,,,,,,
,,,,,MINISTÉRIO DA EDUCAÇÃO,,,,,,,,,, função ignoraN/D,#NAME?
,,,,,UNIVERSIDADE FEDERAL DO CARIRI,,,,,,,,,,,"Ao final, verificar se esse valor é o mesmo que aparece no MC"
,,,,,DIRETORIA DE INFRAESTRUTURA,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Obra:,"Hospital Veterinário Universitário do Cariri – HVUCariri com a urbanização do entorno, estacionamento, guarita de acesso, castelo d´agua, rede de média tensão, lanchonete e área de convivência, casa de gerador, baía de resíduos e estação de tratamento de esgoto no campus da Crato da UFCA.",,,,,,,,"Leis Sociais: 115,02%(HORA) 71,66%(MÊS)",,,,,#NAME?
,,Local:,"Rua Ícaro de Sousa Moreira, 126 - Muriti - Crato/CE, CEP 63130-025",,,,,,,,BDI:,,"21,45%",,,#NAME?
,,Tipo:,Construção,,,,,,,,BDI DIFERENCIADO:,,"13,51%",,,#NAME?
,,Data:,11/25/2024,,,,,,,,Referência de custos,,,,,#NAME?
,,,,,,,,,,,Sinapi – Ceará – 10/2024 - Não Desonerada,,,,,
,,,,,,,,,,,Composições UFCA,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,PLANILHA ORÇAMENTÁRIA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bloco,,ITEM,FONTE,CÓDIGO,DISCRIMINAÇÃO DO SERVIÇO,UN,VALOR UNITÁRIO,QUANT.,VALOR TOTAL,VALOR COM BDI,VALOR COM BDI DIFERENCIADO,VALOR TOTAL POR GRUPO SEM BDI,VALOR TOTAL POR GRUPO COM BDI,,,não apagar essa coluna
,,,,,,,,,,,,,,,,
HEAD3,,1.17,SINAPI,99061,"LOCAÇÃO COM CAVALETE COM ALTURA DE 0,50 M - 2 UTILIZAÇÕES. AF_03/2024",UN,"120,73","4,00","R$ 482,92","R$ 586,50",,,,,,
HEAD3,,1.18,SINAPI,98525,"LIMPEZA MECANIZADA DE CAMADA VEGETAL, VEGETAÇÃO E PEQUENAS ÁRVORES (DIÂMETRO DE TRONCO MENOR QUE 0,20 M), COM TRATOR DE ESTEIRAS. AF_03/2024",M2,"0,68","100093,00","R$ 68.063,24","R$ 82.662,80",,,,,,
HEAD3,,1.19,SINAPI,98524,LIMPEZA MANUAL DE VEGETAÇÃO EM TERRENO COM ENXADA. AF_03/2024,M2,"4,71","400,00","R$ 1.884,00","R$ 2.288,11",,,,,,
HEAD3,,1.20,SINAPI,100981,"CARGA, MANOBRA E DESCARGA DE ENTULHO EM CAMINHÃO BASCULANTE 6 M³ - CARGA COM ESCAVADEIRA HIDRÁULICA  (CAÇAMBA DE 0,80 M³ / 111 HP) E DESCARGA LIVRE (UNIDADE: M3). AF_07/2020",M3,"9,72","2280,00","R$ 22.161,60","R$ 26.915,26",,,,,,
HEAD3,,1.21,UFCA,B0037,REMOÇÃO DE CERCAS,M2,"R$ 0,55","1100,00","R$ 605,00","R$ 734,77",,,,,,
HEAD3,,1.22,SINAPI,95967,SERVIÇOS TÉCNICOS ESPECIALIZADOS PARA ACOMPANHAMENTO DE EXECUÇÃO DE FUNDAÇÕES PROFUNDAS E ESTRUTURAS DE CONTENÇÃO,H,"159,25","44,00","R$ 7.007,00","R$ 8.510,00",,,,,,
,,,,,,,,,,,,,,,,
HEAD1,,2.0,,,MOVIMENTO DE TERRA,,,,,,,"R$ 718.534,91","R$ 872.660,62",,,2.
HEAD3,,2.1,SINAPI,101136,"ESCAVAÇÃO HORIZONTAL, INCLUINDO CARGA, DESCARGA E TRANSPORTE EM SOLO DE 1A CATEGORIA COM TRATOR DE ESTEIRAS (170HP/LÂMINA: 5,20M3) E CAMINHÃO BASCULANTE DE 10M3, DMT ATÉ 200M. AF_07/2020",M3,"14,22","3047,25","R$ 43.331,89","R$ 52.626,58",,,,,,
HEAD3,,2.2,UFCA,C0001,EXECUÇÃO E COMPACTAÇÃO DE ATERRO COM SOLO PREDOMINANTEMENTE ARGILOSO - INCLUSIVE SOLO.,M3,"R$ 60,86","10853,66","R$ 660.553,74","R$ 802.242,51",,,,,,
HEAD3,,2.3,SINAPI,101116,"ESCAVAÇÃO HORIZONTAL EM SOLO DE 1A CATEGORIA COM TRATOR DE ESTEIRAS (170HP/LÂMINA: 5,20M3). AF_07/2020",M3,"2,41","177,57","R$ 427,94","R$ 519,73",,,,,,
HEAD3,,2.4,SINAPI,90106,"ESCAVAÇÃO MECANIZADA DE VALA COM PROFUNDIDADE ATÉ 1,5 M (MÉDIA MONTANTE E JUSANTE/UMA COMPOSIÇÃO POR TRECHO), RETROESCAV. (0,26 M3), LARGURA DE 0,8 M A 1,5 M, EM SOLO DE 1A CATEGORIA, LOCAIS COM BAIXO NÍVEL DE INTERFERÊNCIA. AF_09/2024",M3,"8,32","771,82","R$ 6.421,54","R$ 7.798,96",,,,,,
HEAD3,,2.5,SINAPI,104735,"REATERRO MECANIZADO DE VALA COM RETROESCAVADEIRA (CAPACIDADE   DA   CAÇAMBA   DA RETRO: 0,26 M³/POTÊNCIA: 88 HP), LARGURA ATÉ 0,8 M, PROFUNDIDADE DE 1,5 A 3,0 M, COM SOLO (SEM SUBSTITUIÇÃO) DE 1ª CATEGORIA, COM PLACA VIBRATÓRIA. AF_08/2023",M3,"11,65","486,92","R$ 5.672,61","R$ 6.889,38",,,,,,
HEAD3,,2.6,SINAPI,93358,ESCAVAÇÃO MANUAL DE VALA. AF_09/2024,M3,"87,42","20,01","R$ 1.749,27","R$ 2.124,48",,,,,,
HEAD3,,2.7,SINAPI,93382,"REATERRO MANUAL DE VALAS, COM COMPACTADOR DE SOLOS DE PERCUSSÃO. AF_08/2023",M3,"27,13","13,93","R$ 377,92","R$ 458,98",,,,,,
,,,,,,,,,,,,,,,,
HEAD1,,3.0,,,INFRA-ESTRUTURA/FUNDAÇÕES SIMPLES,,,,,,,"R$ 1.147.472,28","R$ 1.393.604,96",,,3.
HEAD3,,3.1,UFCA,D0001,"ALVENARIA DE CONTENÇÃO EM PEDRA RACHÃO OU PEDRA DE MÃO, ASSENTADA COM ARGAMASSA TRAÇO 1:4 (CIMENTO E AREIA)",M3,"R$ 463,32","351,35","R$ 162.787,48","R$ 197.705,39",,,,,,
HEAD3,,3.2,UFCA,D0002,"ALVENARIA DE CONTENÇÃO EM PEDRA RACHÃO OU PEDRA DE MÃO ARRUMADA, ASSENTADA COM ARGAMASSA TRAÇO 1:4 (CIMENTO E AREIA)",M3,"R$ 524,08","222,87","R$ 116.801,70","R$ 141.855,66",,,,,,
HEAD3,,3.3,SINAPI,101165,"ALVENARIA DE EMBASAMENTO COM BLOCO ESTRUTURAL DE CONCRETO, DE 14X19X29CM E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020",M3,"1.037,31","28,07","R$ 29.117,29","R$ 35.362,94",,,,,,
HEAD3,,3.4,SINAPI,102722,"DRENO EM MURO DE CONTENÇÃO, EXECUTADO NO PÉ DO MURO, COM TUBO DE PEAD CORRUGADO FLEXÍVEL PERFURADO, ENCHIMENTO COM BRITA, ENVOLVIDO COM MANTA GEOTÊXTIL. AF_07/2021",M,"57,95",50,"R$ 2.897,50","R$ 3.519,01",,,,,,
HEAD3,,3.5,SINAPI,103685,"CONCRETAGEM DE MURETAS, FCK=25 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_02/2022_PS",M3,"644,39","21,72","R$ 13.996,15","R$ 16.998,32",,,,,,
HEAD3,,3.6,SINAPI,94962,"CONCRETO MAGRO PARA LASTRO, TRAÇO 1:4,5:4,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",M3,"424,58","1,45","R$ 615,64","R$ 747,69",,,,,,
HEAD3,,3.7,SINAPI,94965,"CONCRETO FCK = 25MPA, TRAÇO 1:2,3:2,7 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",M3,"523,12","5,11","R$ 2.673,14","R$ 3.246,52",,,,,,
HEAD3,,3.8,SINAPI,103670,"LANÇAMENTO COM USO DE BALDES, ADENSAMENTO E ACABAMENTO DE CONCRETO EM ESTRUTURAS. AF_02/2022",M3,"306,36","4,71","R$ 1.442,95","R$ 1.752,46",,,,,,
HEAD3,,3.9,SINAPI,96543,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-60 DE 5 MM - MONTAGEM. AF_01/2024,KG,"21,54","633,91","R$ 13.654,42","R$ 16.583,29",,,,,,
HEAD3,,3.10,SINAPI,96544,"ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_01/2024",KG,"19,58","66,84","R$ 1.308,72","R$ 1.589,44",,,,,,
HEAD3,,3.11,SINAPI,96545,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 8 MM - MONTAGEM. AF_01/2024,KG,"17,75","1004,58","R$ 17.831,29","R$ 21.656,10",,,,,,
HEAD3,,3.12,SINAPI,96546,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 10 MM - MONTAGEM. AF_01/2024,KG,"15,58","152,80","R$ 2.380,62","R$ 2.891,26",,,,,,
HEAD3,,3.13,SINAPI,104920,"ARMAÇÃO DE BLOCO, SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_01/2024",KG,"12,06","1433,82","R$ 17.291,86","R$ 21.000,96",,,,,,
HEAD3,,3.14,UFCA,B0029,CONTROLE TECNOLÓGICO DE CONCRETO C/ ROMPIMENTO DE CORPO DE PROVA À COMPRESSÃO,UN ,"R$ 114,56",102,"R$ 11.724,64","R$ 14.239,57",,,,,,
HEAD3,,3.15,SINAPI,96525,ESCAVAÇÃO MECANIZADA PARA VIGA BALDRAME OU SAPATA CORRIDA COM MINI-ESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS). AF_01/2024,M3,"54,97","372,93","R$ 20.499,96","R$ 24.897,20",,,,,,
HEAD3,,3.16,SINAPI,96521,ESCAVAÇÃO MECANIZADA PARA BLOCO DE COROAMENTO OU SAPATA COM RETROESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS). AF_01/2024,M3,"41,90","676,72","R$ 28.354,56","R$ 34.436,61",,,,,,
HEAD3,,3.17,SINAPI,96557,"CONCRETAGEM DE BLOCO DE COROAMENTO OU VIGA BALDRAME, FCK 30 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_01/2024",M3,"705,77","170,36","R$ 120.234,97","R$ 146.025,37",,,,,,
HEAD3,,3.18,SINAPI,96558,"CONCRETAGEM DE SAPATA, FCK 30 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_01/2024",M3,"738,32","10,74","R$ 7.929,55","R$ 9.630,43",,,,,,
HEAD3,,3.19,SINAPI,104918,"ARMAÇÃO DE SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-50 DE 8 MM - MONTAGEM. AF_01/2024",KG,"15,94","2933,74","R$ 46.763,81","R$ 56.794,64",,,,,,
HEAD3,,3.20,SINAPI,104916,"ARMAÇÃO DE SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-60 DE 5 MM - MONTAGEM. AF_01/2024",KG,"18,23","326,60","R$ 5.953,91","R$ 7.231,02",,,,,,
HEAD3,,3.21,SINAPI,104917,"ARMAÇÃO DE SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_01/2024",KG,"17,09","1492,50","R$ 25.506,82","R$ 30.978,03",,,,,,
HEAD3,,3.22,SINAPI,96541,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA SAPATA, EM CHAPA DE MADEIRA COMPENSADA RESINADA, E=17 MM, 4 UTILIZAÇÕES. AF_01/2024",M2,"190,41","18,70","R$ 3.560,66","R$ 4.324,42",,,,,,
HEAD3,,3.23,SINAPI,96536,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA VIGA BALDRAME, EM MADEIRA SERRADA, E=25 MM, 4 UTILIZAÇÕES. AF_01/2024",M2,"75,14","1458,45","R$ 109.587,93","R$ 133.094,54",,,,,,
HEAD3,,3.24,SINAPI,96619,"LASTRO DE CONCRETO MAGRO, APLICADO EM BLOCOS DE COROAMENTO OU SAPATAS, ESPESSURA DE 5 CM. AF_01/2024",M2,"41,51","199,10","R$ 8.264,64","R$ 10.037,40",,,,,,
